keyword,time_series,graph
allonge,"44.0,85.0,64.0,60.0,51.0,54.0,67.0,65.0,60.0,49.0,77.0,57.0,60.0,53.0,56.0,46.0,69.0,56.0,50.0,70.0,63.0,67.0,73.0,58.0,86.0,55.0,76.0,51.0,76.0,53.0,78.0,53.0,81.0,63.0,74.0,72.0,68.0,90.0,72.0,78.0,65.0,86.0,56.0,45.0,76.0,81.0,62.0,72.0,68.0,52.0,58.0,72.0,64.0,52.0,60.0,85.0,77.0,63.0,63.0,45.0,66.0,76.0,59.0,73.0,67.0,70.0,73.0,63.0,65.0,62.0,78.0,71.0,70.0,66.0,63.0,77.0,75.0,68.0,73.0,69.0,80.0,58.0,73.0,68.0,80.0,68.0,60.0,71.0,69.0,67.0,65.0,63.0,61.0,71.0,75.0,69.0,81.0,77.0,55.0,70.0,58.0,62.0,100.0,68.0,62.0,70.0,59.0,68.0,70.0,72.0,79.0,70.0,77.0,57.0,57.0,61.0,53.0,73.0,62.0,70.0,76.0,58.0,57.0,66.0,55.0,54.0,53.0,68.0,85.0,73.0,66.0,76.0,59.0,73.0,68.0,83.0,85.0,85.0,71.0,71.0,69.0,57.0,73.0,66.0,68.0,69.0,58.0,63.0,62.0,68.0,67.0,64.0,67.0,60.0,73.0,60.0,62.0,86.0,66.0,65.0,71.0,55.0,77.0,84.0,66.0,54.0,72.0,64.0,67.0,59.0,66.0,67.0,66.0,71.0,70.0,59.0,69.0,69.0,88.0,65.0,49.0,73.0,60.0,63.0,62.0,71.0,81.0,66.0,51.0,71.0,78.0,68.0,79.0,71.0,61.0,66.0,75.0,64.0,51.0,58.0,72.0,59.0,57.0,75.0,64.0,69.0,59.0,72.0,63.0,61.0,61.0,54.0,65.0,69.0,58.0,57.0,73.0,78.0,58.0,62.0,73.0,66.0,66.0,65.0,76.0,65.0,47.0,68.0,68.0,68.0,71.0,70.0,86.0,68.0,61.0,70.0,61.0,50.0,65.0,68.0,79.0,66.0,59.0,80.0,77.0,61.0,76.0,78.0,67.0,51.0,77.0,67.0,73.0,50.0,70.0,75.0,67.0,63.0,69.0,67.0",
trevor,"48,38,35,34,37,31,32,31,33,40,35,33,32,36,31,32,33,32,32,32,32,32,30,28,31,33,58,43,31,32,32,30,30,31,28,29,32,29,32,33,30,31,34,29,30,28,30,39,52,32,32,41,38,41,48,41,39,45,38,37,63,49,43,32,33,33,31,36,34,35,33,40,42,41,40,39,40,34,34,32,30,30,33,34,33,30,34,36,37,37,34,33,40,36,36,37,37,36,34,38,31,34,38,35,38,34,35,32,32,29,32,30,56,43,35,29,31,36,35,35,36,35,32,31,34,34,34,38,36,36,35,34,33,33,35,34,58,61,36,34,34,33,32,37,32,40,42,34,34,34,38,35,33,32,32,42,37,31,32,34,37,34,31,36,37,44,45,35,37,42,100,40,34,37,31,35,38,40,34,29,40,34,33,33,38,34,31,32,33,30,29,31,32,36,36,32,31,32,31,57,38,33,34,34,33,34,46,32,32,30,32,34,33,38,35,38,36,39,45,40,39,67,43,74,43,41,41,41,40,42,44,42,42,45,43,40,42,45,46,39,38,43,39,50,46,41,42,38,39,41,40,36,34,37,38,41,38,42,39,44",
mounty,"37.0,32.0,35.0,25.0,26.0,26.0,23.0,25.0,21.0,29.0,36.0,35.0,30.0,37.0,21.0,27.0,29.0,23.0,26.0,34.0,37.0,38.0,35.0,28.0,25.0,35.0,34.0,30.0,28.0,29.0,31.0,36.0,25.0,29.0,34.0,23.0,35.0,24.0,29.0,30.0,30.0,25.0,28.0,31.0,24.0,27.0,26.0,26.0,25.0,26.0,29.0,24.0,36.0,26.0,27.0,25.0,30.0,19.0,24.0,25.0,28.0,30.0,29.0,28.0,26.0,26.0,29.0,27.0,24.0,28.0,26.0,25.0,24.0,28.0,23.0,22.0,26.0,32.0,29.0,35.0,31.0,31.0,26.0,34.0,31.0,30.0,32.0,29.0,28.0,28.0,28.0,23.0,15.0,30.0,27.0,26.0,19.0,30.0,31.0,22.0,22.0,21.0,20.0,24.0,22.0,23.0,28.0,25.0,18.0,27.0,18.0,28.0,27.0,27.0,23.0,30.0,25.0,34.0,21.0,31.0,29.0,26.0,24.0,24.0,35.0,32.0,23.0,24.0,24.0,25.0,30.0,23.0,20.0,27.0,25.0,21.0,33.0,28.0,22.0,37.0,38.0,30.0,23.0,26.0,33.0,26.0,25.0,27.0,30.0,22.0,31.0,17.0,30.0,25.0,30.0,23.0,25.0,29.0,23.0,26.0,20.0,27.0,21.0,27.0,26.0,22.0,28.0,22.0,31.0,29.0,29.0,33.0,24.0,29.0,25.0,25.0,26.0,24.0,25.0,28.0,32.0,31.0,22.0,29.0,23.0,27.0,28.0,21.0,37.0,25.0,26.0,24.0,21.0,29.0,30.0,25.0,22.0,22.0,25.0,31.0,26.0,30.0,27.0,24.0,26.0,27.0,28.0,26.0,31.0,30.0,30.0,28.0,22.0,31.0,31.0,19.0,27.0,32.0,22.0,21.0,20.0,23.0,26.0,29.0,28.0,28.0,24.0,25.0,24.0,27.0,27.0,25.0,21.0,22.0,33.0,21.0,24.0,20.0,27.0,20.0,24.0,28.0,30.0,32.0,34.0,28.0,26.0,26.0,55.0,100.0,34.0,27.0,29.0,33.0,31.0,31.0,29.0,30.0,23.0,22.0",
touch and go,"22.0,27.0,29.0,26.0,24.0,24.0,23.0,22.0,20.0,23.0,23.0,30.0,44.0,53.0,39.0,38.0,35.0,28.0,30.0,30.0,25.0,28.0,25.0,24.0,31.0,24.0,26.0,23.0,29.0,28.0,27.0,26.0,25.0,25.0,23.0,24.0,24.0,31.0,27.0,26.0,23.0,22.0,25.0,22.0,26.0,24.0,24.0,28.0,25.0,25.0,25.0,17.0,26.0,21.0,26.0,22.0,20.0,19.0,23.0,23.0,23.0,24.0,22.0,25.0,21.0,20.0,22.0,24.0,26.0,21.0,24.0,26.0,19.0,24.0,29.0,20.0,21.0,25.0,21.0,26.0,24.0,22.0,20.0,23.0,23.0,25.0,21.0,23.0,22.0,25.0,24.0,25.0,24.0,26.0,24.0,25.0,30.0,23.0,27.0,27.0,26.0,28.0,25.0,25.0,24.0,28.0,22.0,29.0,19.0,21.0,24.0,30.0,26.0,24.0,23.0,23.0,21.0,27.0,25.0,26.0,29.0,23.0,26.0,25.0,25.0,21.0,23.0,23.0,27.0,21.0,20.0,18.0,24.0,22.0,21.0,23.0,26.0,21.0,20.0,22.0,20.0,29.0,26.0,19.0,16.0,22.0,21.0,23.0,22.0,21.0,26.0,26.0,100.0,28.0,30.0,26.0,31.0,24.0,24.0,32.0,23.0,22.0,22.0,24.0,24.0,23.0,26.0,22.0,23.0,23.0,22.0,25.0,27.0,28.0,27.0,26.0,28.0,20.0,19.0,24.0,27.0,21.0,23.0,23.0,27.0,24.0,21.0,25.0,24.0,27.0,21.0,25.0,27.0,23.0,24.0,24.0,23.0,24.0,28.0,25.0,29.0,28.0,25.0,28.0,27.0,26.0,27.0,27.0,23.0,26.0,51.0,26.0,24.0,28.0,23.0,30.0,24.0,28.0,27.0,29.0,34.0,31.0,30.0,28.0,34.0,29.0,29.0,31.0,29.0,26.0,43.0,38.0,30.0,30.0,38.0,30.0,27.0,29.0,27.0,23.0,18.0,21.0,19.0,22.0,22.0,21.0,22.0,20.0,21.0,21.0,24.0,21.0,22.0,25.0,24.0,23.0,27.0,24.0,33.0,43.0",
spoon feed,"76.0,45.0,71.0,39.0,58.0,59.0,65.0,68.0,47.0,68.0,46.0,53.0,68.0,64.0,61.0,52.0,72.0,40.0,44.0,44.0,73.0,59.0,52.0,45.0,48.0,37.0,15.0,40.0,62.0,74.0,66.0,49.0,71.0,63.0,34.0,41.0,52.0,83.0,45.0,48.0,67.0,45.0,49.0,64.0,58.0,46.0,53.0,63.0,40.0,56.0,52.0,83.0,72.0,61.0,70.0,55.0,74.0,49.0,53.0,45.0,50.0,60.0,83.0,53.0,91.0,56.0,48.0,53.0,77.0,65.0,29.0,67.0,74.0,53.0,73.0,45.0,48.0,82.0,65.0,59.0,67.0,63.0,67.0,31.0,48.0,58.0,43.0,48.0,37.0,28.0,48.0,76.0,41.0,37.0,47.0,55.0,61.0,90.0,49.0,71.0,56.0,40.0,61.0,57.0,79.0,36.0,43.0,46.0,53.0,37.0,52.0,52.0,59.0,73.0,52.0,41.0,65.0,63.0,40.0,47.0,51.0,64.0,32.0,52.0,53.0,63.0,42.0,42.0,59.0,62.0,72.0,65.0,38.0,32.0,48.0,52.0,64.0,43.0,49.0,59.0,65.0,56.0,33.0,56.0,69.0,56.0,63.0,44.0,39.0,49.0,52.0,58.0,41.0,46.0,55.0,86.0,49.0,40.0,23.0,45.0,29.0,54.0,48.0,45.0,29.0,42.0,48.0,48.0,60.0,57.0,51.0,67.0,80.0,58.0,36.0,50.0,100.0,64.0,48.0,75.0,78.0,56.0,60.0,33.0,37.0,79.0,47.0,51.0,60.0,54.0,47.0,40.0,26.0,25.0,50.0,60.0,41.0,41.0,72.0,62.0,41.0,40.0,60.0,69.0,48.0,36.0,42.0,42.0,70.0,53.0,43.0,55.0,39.0,93.0,45.0,51.0,60.0,62.0,41.0,47.0,41.0,44.0,50.0,47.0,53.0,27.0,57.0,42.0,43.0,89.0,58.0,49.0,87.0,70.0,36.0,58.0,43.0,54.0,59.0,42.0,31.0,63.0,59.0,64.0,81.0,83.0,73.0,92.0,70.0,63.0,66.0,44.0,62.0,67.0,65.0,55.0,33.0,75.0,53.0,61.0",
hairstyles for thinning hair,"81,52,82,79,72,82,69,77,78,58,77,70,68,63,71,75,78,87,62,60,79,80,62,78,74,78,84,59,59,85,75,96,85,73,98,64,65,63,80,84,66,52,33,25,32,0,61,55,33,69,57,76,45,84,67,59,59,73,80,65,72,70,48,60,61,59,78,74,64,70,58,53,90,69,58,62,58,58,54,40,64,54,78,65,56,62,54,46,48,70,87,50,62,56,74,68,77,50,66,70,69,69,57,65,70,66,77,58,67,53,46,67,70,61,38,45,68,68,60,62,41,70,100,62,63,60,71,51,56,80,75,53,60,46,40,49,62,37,84,47,62,46,93,61,69,67,58,54,42,57,59,61,62,50,48,41,75,54,50,61,49,59,46,69,48,49,65,42,50,47,69,62,65,46,63,57,48,53,57,50,50,54,27,50,33,51,40,59,54,75,54,44,54,57,43,58,52,44,60,42,48,50,44,36,55,46,42,51,52,49,44,34,61,43,44,51,57,53,61,48,41,43,42,59,42,39,33,49,44,52,56,35,60,48,29,39,42,67,43,51,36,51,47,51,28,54,34,76,55,48,50,51,51,43,39,32,37,47,38,41",
lucan,"22.0,21.0,21.0,23.0,21.0,21.0,19.0,19.0,25.0,21.0,21.0,25.0,22.0,20.0,22.0,26.0,22.0,19.0,20.0,21.0,20.0,17.0,20.0,22.0,93.0,28.0,21.0,21.0,21.0,22.0,21.0,21.0,19.0,21.0,19.0,18.0,20.0,23.0,21.0,21.0,22.0,21.0,23.0,21.0,22.0,20.0,24.0,20.0,23.0,20.0,23.0,21.0,21.0,23.0,22.0,23.0,22.0,22.0,20.0,20.0,19.0,22.0,20.0,22.0,20.0,21.0,20.0,23.0,21.0,21.0,20.0,20.0,20.0,20.0,24.0,33.0,24.0,21.0,22.0,24.0,22.0,19.0,20.0,25.0,21.0,22.0,20.0,22.0,22.0,23.0,24.0,22.0,25.0,32.0,100.0,25.0,25.0,26.0,29.0,26.0,24.0,22.0,24.0,23.0,24.0,24.0,26.0,26.0,23.0,29.0,67.0,31.0,32.0,27.0,24.0,24.0,24.0,21.0,22.0,21.0,22.0,29.0,31.0,44.0,33.0,34.0,35.0,22.0,24.0,23.0,23.0,23.0,29.0,25.0,25.0,25.0,23.0,30.0,21.0,24.0,24.0,25.0,22.0,33.0,32.0,27.0,24.0,26.0,24.0,22.0,24.0,27.0,25.0,25.0,24.0,24.0,24.0,24.0,22.0,25.0,26.0,44.0,23.0,23.0,25.0,23.0,21.0,21.0,24.0,25.0,20.0,21.0,23.0,21.0,21.0,22.0,23.0,24.0,23.0,23.0,22.0,24.0,24.0,24.0,20.0,23.0,24.0,25.0,22.0,23.0,23.0,23.0,23.0,31.0,27.0,24.0,24.0,26.0,26.0,25.0,29.0,26.0,25.0,25.0,23.0,24.0,24.0,24.0,25.0,24.0,25.0,28.0,24.0,22.0,25.0,24.0,24.0,20.0,23.0,22.0,24.0,23.0,31.0,23.0,20.0,19.0,22.0,21.0,25.0,25.0,24.0,23.0,56.0,25.0,22.0,23.0,21.0,22.0,19.0,21.0,19.0,16.0,18.0,18.0,19.0,21.0,19.0,19.0,23.0,23.0,24.0,24.0,24.0,26.0,27.0,24.0,22.0,25.0,23.0,24.0",
mesic,"21.0,23.0,25.0,22.0,25.0,36.0,100.0,25.0,20.0,20.0,20.0,23.0,26.0,24.0,26.0,25.0,25.0,23.0,27.0,20.0,24.0,22.0,20.0,24.0,26.0,28.0,22.0,19.0,27.0,24.0,23.0,28.0,25.0,22.0,27.0,27.0,25.0,26.0,23.0,30.0,25.0,21.0,24.0,25.0,21.0,26.0,21.0,24.0,24.0,23.0,22.0,24.0,21.0,23.0,23.0,25.0,31.0,24.0,22.0,26.0,21.0,29.0,31.0,26.0,22.0,31.0,19.0,23.0,19.0,24.0,25.0,24.0,23.0,22.0,24.0,33.0,26.0,28.0,24.0,23.0,30.0,26.0,23.0,23.0,25.0,23.0,21.0,26.0,22.0,24.0,29.0,27.0,31.0,22.0,22.0,28.0,22.0,23.0,26.0,23.0,24.0,25.0,28.0,27.0,19.0,24.0,22.0,19.0,24.0,22.0,24.0,25.0,26.0,23.0,25.0,24.0,26.0,23.0,22.0,26.0,23.0,22.0,22.0,26.0,27.0,27.0,16.0,20.0,26.0,19.0,22.0,20.0,29.0,27.0,19.0,26.0,25.0,26.0,26.0,26.0,24.0,24.0,21.0,25.0,22.0,24.0,27.0,19.0,20.0,30.0,25.0,23.0,20.0,52.0,27.0,22.0,20.0,24.0,22.0,20.0,19.0,25.0,22.0,25.0,24.0,25.0,32.0,26.0,27.0,20.0,22.0,23.0,23.0,27.0,22.0,22.0,22.0,24.0,30.0,28.0,25.0,21.0,22.0,27.0,23.0,26.0,26.0,27.0,26.0,30.0,26.0,31.0,22.0,26.0,41.0,26.0,29.0,27.0,27.0,26.0,28.0,25.0,28.0,26.0,35.0,30.0,24.0,24.0,25.0,27.0,19.0,28.0,23.0,25.0,23.0,26.0,23.0,27.0,26.0,26.0,25.0,26.0,26.0,24.0,24.0,25.0,23.0,27.0,26.0,53.0,26.0,28.0,27.0,31.0,27.0,31.0,26.0,29.0,26.0,20.0,27.0,33.0,36.0,29.0,30.0,30.0,31.0,33.0,28.0,27.0,27.0,25.0,28.0,27.0,25.0,32.0,29.0,35.0,30.0,34.0",
camaraderie,"91.0,83.0,93.0,88.0,86.0,100.0,88.0,89.0,72.0,85.0,84.0,79.0,85.0,86.0,94.0,71.0,86.0,79.0,87.0,61.0,70.0,69.0,71.0,68.0,74.0,65.0,65.0,69.0,68.0,75.0,72.0,68.0,65.0,67.0,57.0,67.0,67.0,68.0,66.0,68.0,71.0,71.0,66.0,71.0,48.0,62.0,55.0,63.0,56.0,58.0,59.0,67.0,65.0,54.0,79.0,76.0,73.0,84.0,84.0,78.0,73.0,67.0,70.0,75.0,66.0,72.0,71.0,65.0,85.0,63.0,73.0,43.0,45.0,64.0,73.0,67.0,71.0,72.0,72.0,68.0,63.0,68.0,68.0,75.0,78.0,64.0,58.0,56.0,66.0,71.0,65.0,65.0,64.0,65.0,65.0,65.0,67.0,61.0,63.0,69.0,61.0,71.0,66.0,66.0,69.0,65.0,74.0,65.0,75.0,76.0,94.0,84.0,79.0,82.0,76.0,78.0,84.0,73.0,80.0,68.0,84.0,74.0,80.0,62.0,50.0,52.0,64.0,67.0,66.0,76.0,78.0,60.0,65.0,76.0,68.0,68.0,74.0,59.0,61.0,73.0,78.0,84.0,69.0,72.0,69.0,70.0,58.0,67.0,53.0,56.0,71.0,61.0,69.0,60.0,61.0,72.0,61.0,65.0,72.0,79.0,76.0,72.0,85.0,71.0,81.0,74.0,76.0,76.0,71.0,79.0,76.0,67.0,77.0,81.0,75.0,74.0,62.0,67.0,73.0,81.0,76.0,82.0,74.0,83.0,72.0,69.0,73.0,64.0,72.0,72.0,72.0,71.0,72.0,88.0,72.0,69.0,72.0,68.0,64.0,63.0,53.0,64.0,64.0,57.0,58.0,57.0,59.0,91.0,62.0,57.0,80.0,65.0,69.0,79.0,73.0,69.0,73.0,81.0,60.0,77.0,75.0,68.0,81.0,79.0,74.0,73.0,72.0,81.0,53.0,55.0,73.0,71.0,74.0,75.0,80.0,77.0,70.0,70.0,67.0,65.0,67.0,64.0,64.0,67.0,60.0,69.0,61.0,84.0,73.0,74.0,67.0,75.0,83.0,74.0,72.0,62.0,70.0,61.0,77.0,71.0",
dumpling bag,"26,4,0,0,0,4,0,6,0,5,8,13,6,9,6,16,15,8,0,8,5,0,5,11,0,15,4,4,7,0,4,6,6,6,0,15,5,0,0,11,8,9,11,10,7,8,13,6,11,4,6,11,12,20,7,4,12,11,14,9,8,12,14,17,7,12,12,11,0,19,12,5,7,0,5,20,7,0,12,10,8,12,16,15,14,12,23,11,15,11,14,0,17,11,11,15,13,17,21,12,11,7,4,6,15,6,7,23,6,11,10,13,12,8,7,0,16,13,17,5,7,19,9,10,18,7,12,19,19,11,10,19,15,11,15,9,6,17,22,26,18,13,10,6,18,9,21,17,17,24,13,10,13,17,30,22,18,29,40,15,26,29,29,32,32,24,27,28,36,21,28,26,25,23,37,35,31,22,45,42,46,46,37,68,54,57,32,67,47,41,48,33,59,59,49,69,54,46,52,49,45,44,49,52,46,87,60,72,93,92,82,88,90,100,69,78,59,72,71,67,74,68,62,58,68,86,50,61,56,70,73,70,74,80,87,84,81,89,99,90,87,87,86,67,86,81,77,89,66,71,87,67,81,66,62,67,76,84,89,96",
